accommodation_id,accommodation_name,count,duration_days,budget
10060041,강릉 열시반펜션,68,2.8676470588235294,525000.0
10057607,강릉 나비잠,57,2.9298245614035086,847368.4210526316
10046257,강릉 하쿠나마타타풀빌라,31,2.5483870967741935,1903225.8064516129
10056273,강릉 머물구자펜션,30,2.7666666666666666,780000.0
10062450,강릉 유림스테이,27,2.4074074074074074,792592.5925925926
10044704,강릉 라온펜션,25,2.84,552000.0
10058072,강릉 하이오션618호,24,2.9583333333333335,545833.3333333334
10040659,강릉 아카펠라 게스트하우스,20,3.7,385000.0
10065274,강릉 호텔 감재,18,2.7222222222222223,550000.0
1000109710,강릉 라라,18,3.4444444444444446,405555.55555555556
3017781,강릉 아스라,18,3.3333333333333335,461111.1111111111
10047953,강릉 1012독채펜션,17,2.6470588235294117,929411.7647058824
10058151,강릉 미라벨펜션,14,2.4285714285714284,492857.14285714284
10064591,강릉 블랑37독채풀빌라,12,2.1666666666666665,1883333.3333333333
1000108328,강릉 게스트하우스 중앙점,12,4.416666666666667,441666.6666666667
10048130,강릉 라임비치스파펜션,12,3.75,1075000.0
1000110878,강릉 진하우스펜션,12,2.75,1050000.0
10061418,강릉 강문스테이,11,3.090909090909091,390909.0909090909
10057270,강릉 강문소소담독채펜션,11,2.8181818181818183,1500000.0
1000145,강릉 더뷰티호텔,11,3.272727272727273,636363.6363636364
3000446,강릉 라벨르호텔 프리미어 강릉역점,10,2.4,330000.0
10040006,강릉 학동 한옥스테이,10,2.6,2070000.0
27046,강릉 센트럴,9,2.888888888888889,355555.55555555556
10060411,강릉 더스테이 은파,9,3.2222222222222223,1166666.6666666667
3003230,강릉 S202 스파펜션,8,2.625,600000.0
10052744,강릉 리멤버독채펜션,8,2.0,1150000.0
10057051,강릉 초당더쉼펜션,8,2.875,1862500.0
10062828,강릉 소나무숲펜션,8,2.25,1887500.0
10061608,강릉 저동하녹독채펜션,8,3.5,2662500.0
3008141,강릉관광호텔,8,2.625,600000.0
10055367,강릉 꽃담은강문을담다,8,2.75,1875000.0
10048841,강릉 브라운도트 강릉역점,7,2.857142857142857,628571.4285714285
10044793,강릉 경포뜰펜션,7,3.142857142857143,1500000.0
10063337,강릉 스테이안다미로독채스파펜션,6,2.6666666666666665,1216666.6666666667
10046137,강릉(정동진) 해맞이,6,2.0,250000.0
10051273,강릉 넘버25 강릉역점,6,3.3333333333333335,750000.0
3002827,강릉 황토와솔내음펜션,6,3.0,666666.6666666666
10047592,강릉 디니다스펜션,6,2.1666666666666665,1566666.6666666667
10057625,강릉 스테이에덴,6,2.3333333333333335,1350000.0
10058071,강릉 헤르만의정원in강릉,6,2.8333333333333335,1766666.6666666667
10062414,강릉 스테이인터뷰,5,2.2,640000.0
10065298,강릉 머뭄풀빌라,5,2.4,1320000.0
10063700,신라모노그램 강릉 레지던스,5,2.4,1780000.0
3001494,강릉 씨마크 호텔,5,2.0,1760000.0
10062547,강릉 강문스토리,5,3.0,360000.0
10062294,강릉 노빌레펜션,5,2.6,560000.0
10057347,강릉 해중공원펜션,5,3.4,440000.0
3014461,강릉 쉼,5,2.6,360000.0
1000236,강릉 경포대 스완,4,3.0,625000.0
27240,강릉 부띠크 루소호텔,4,3.75,700000.0
10064533,강릉 경포블루비치펜션,4,3.0,475000.0
1000100529,경포 비스타호텔,4,2.5,425000.0
10064423,강릉 진스테이,4,3.0,550000.0
1000102447,강릉 위드 호텔(강릉역점),4,3.75,800000.0
10064836,강릉 도원펜션,4,2.5,700000.0
10064446,강릉 경포 블루비치펜션,4,4.5,650000.0
1000111263,강릉 학동한옥펜션,4,2.25,1600000.0
10048155,강릉 경포의휴일펜션,4,3.25,1025000.0
10040360,강릉 까사클라라펜션,4,2.25,750000.0
3014465,강릉 타워모텔,4,3.5,400000.0
10060228,강릉 다오풀빌라,4,2.25,850000.0
10064399,강릉 더이스트펜션,4,3.5,625000.0
10063220,강릉 꿈꾸는풍차애견동반펜션,4,2.75,675000.0
10064050,강릉 디오네스파펜션,3,3.0,1466666.6666666667
10062044,강릉 더 오션스테이 A19,3,2.0,766666.6666666666
10052291,강릉 휴가스테이,3,3.0,2233333.3333333335
1000090928,강릉 경포솔향기펜션,3,2.6666666666666665,500000.0
10060848,강릉 나이아드펜션,3,4.0,466666.6666666667
3013409,스카이베이 호텔 경포,3,3.0,1866666.6666666667
10039596,강릉 브릭펜션,3,2.6666666666666665,1133333.3333333333
10057249,강릉 연곡펜션,3,2.3333333333333335,266666.6666666667
10058163,강릉 별담가,3,2.3333333333333335,1700000.0
3012679,강릉 경포대 산토리니,3,5.0,633333.3333333334
10052188,강릉 건행독채풀빌라펜션,3,2.0,1000000.0
10060193,강릉 여유를 담다,2,3.0,1900000.0
1000111789,강릉 바다를품은스파펜션,2,2.0,700000.0
1000110189,강릉 신나는펜션,2,2.0,550000.0
10064392,강릉 파라다이스펜션,2,3.0,600000.0
1000109262,강릉 숨어있는집펜션,2,3.0,500000.0
1000100071,강릉 경포대 아이리스 스테이,2,2.0,200000.0
10063952,강릉 아썸펜션,2,2.0,400000.0
10063103,강릉 사천의밤,2,2.0,200000.0
10060859,강릉 레이벨류스파펜션(안목 커피거리),2,3.5,1050000.0
3004935,강릉 옥상달빛펜션,2,3.5,750000.0
27857,강릉 미성장모텔,2,3.5,350000.0
1000068,강릉 경포대 빅토리아,2,2.5,300000.0
3005708,강릉 경포캐빈펜션,2,2.5,650000.0
3010970,강릉 어뮤즈스파펜션,2,2.5,450000.0
1000108403,강릉 경포대 료칸스테이,2,2.0,450000.0
10045242,강릉 더시월독채펜션,2,2.0,400000.0
10045118,강릉 글래드펜션,2,2.0,250000.0
10056110,강릉 경포비치힐펜션,2,2.5,700000.0
10055697,강릉 SH펜션,2,2.5,1450000.0
3020243,강릉 기억스테이펜션(강문해변 도보1분),2,4.5,1100000.0
10040005,강릉 이팝게스트하우스,2,2.0,300000.0
10047440,강릉 경포대로하스오션뷰가족펜션,2,2.5,1200000.0
10044900,강릉 산호펜션,2,4.0,800000.0
3013530,강릉 경포비치관광호텔,2,2.5,900000.0
10039924,강릉 위펜션(안목 커피거리),2,3.0,650000.0
10061373,강릉 도도하우스1,2,2.0,1000000.0
10063317,강릉 지소림한옥스테이,2,2.0,550000.0
10062730,강릉 경포부티크소공,2,3.5,1950000.0
10062031,강릉 스테이경포55,2,2.5,400000.0
10063556,신라모노그램 강릉 호텔,2,2.0,1350000.0
10060197,강릉 모래하늘펜션,2,2.0,400000.0
3013306,강릉 더샾호텔,1,3.0,500000.0
3011533,강릉 라피네호텔,1,2.0,400000.0
3007202,강릉 메어블릭스파펜션,1,4.0,800000.0
3010391,강릉 경포대 큐브,1,5.0,500000.0
3006007,강릉 해모로펜션,1,3.0,800000.0
3002920,강릉 산바다펜션,1,2.0,300000.0
3002569,강릉 한들펜션,1,2.0,400000.0
1000059,강릉 경포대 코모도,1,3.0,400000.0
100102,강릉 경포대 파라다이스,1,4.0,400000.0
27924,강릉 경포대 호텔 더 원(HOTEL THE ONE),1,4.0,700000.0
3015276,강릉씨티호텔,1,5.0,2200000.0
3014625,강릉 아가바라 호텔,1,2.0,200000.0
3013417,강릉 세인트존스호텔,1,3.0,1000000.0
3014664,강릉 YAJA 강릉역점,1,5.0,1300000.0
3014141,강릉 루이스 호텔,1,3.0,700000.0
10046779,강릉 칸펜션,1,2.0,300000.0
10058408,강릉 삐꼴로까사,1,3.0,800000.0
10058132,강릉 스테이소솜,1,2.0,600000.0
10056414,강릉 당신의안목펜션,1,3.0,800000.0
10057169,강릉 산북150,1,3.0,1100000.0
10053877,강릉 그란데마레풀빌라,1,3.0,1100000.0
10052283,강릉 씨카라반,1,2.0,400000.0
10054400,강릉 영진더한옥 풀빌라,1,2.0,800000.0
10055593,강릉 디아레나펜션,1,3.0,1500000.0
10048806,강릉 깨비네집한옥펜션,1,2.0,400000.0
10048410,강릉 지지(GG)펜션,1,2.0,300000.0
3014292,강릉 휠,1,2.0,200000.0
10042945,강릉 경포힐링하우스펜션,1,2.0,500000.0
10042948,강릉 경포힐링스테이펜션,1,3.0,1400000.0
10043398,강릉 페리아902키즈가족스파펜션,1,5.0,3900000.0
10042157,강릉 베이스캠프카라반,1,4.0,1500000.0
10059419,강릉 치즈바다,1,2.0,500000.0
10063334,강릉 해피하우스펜션,1,2.0,200000.0
10063181,강릉 피어하우스독채풀빌라,1,3.0,2700000.0
10061720,강릉 스테이 이플,1,2.0,900000.0
10060623,강릉 cn6스파풀빌라,1,2.0,900000.0
10060626,강릉 코미치바다펜션,1,3.0,500000.0
10060689,강릉 편안한가독채풀빌라,1,2.0,500000.0
10061060,강릉 브릭포레스트,1,2.0,400000.0
10061610,강릉 헤이펜션,1,2.0,500000.0
10065181,강릉 호텔 인,1,2.0,300000.0
10064208,강릉 스테이풀빌라,1,2.0,900000.0
10063698,강릉 바다솔펜션,1,3.0,2200000.0
1000108914,강릉 하이오션경포,1,3.0,800000.0
1000110490,강릉 브라운도트 강릉경포점,1,2.0,300000.0
1000113550,강릉 올라스풀빌라,1,2.0,1000000.0
1000114001,강릉 파인아트라벨,1,2.0,500000.0
1000114471,강릉 마운틴,1,4.0,400000.0
