user_id,accommodation_id,accommodation_name,duration_days,budget,start_date,budget_range
U0001,10058071,강릉 헤르만의정원in강릉,3,2200000,2025-08-16,
U0002,10057270,강릉 강문소소담독채펜션,3,2000000,2025-10-07,
U0003,10064591,강릉 블랑37독채풀빌라,3,2800000,2025-02-18,
U0006,1000111263,강릉 학동한옥펜션,2,1000000,2025-04-21,60만원 이상
U0007,10044704,강릉 라온펜션,2,200000,2025-01-09,20만원 이하
U0008,10048841,강릉 브라운도트 강릉역점,2,400000,2025-10-22,20-40만원
U0009,10064591,강릉 블랑37독채풀빌라,2,1700000,2025-11-10,
U0010,10057607,강릉 나비잠,3,700000,2025-02-18,60만원 이상
U0011,10057607,강릉 나비잠,2,400000,2025-08-28,20-40만원
U0012,3004935,강릉 옥상달빛펜션,5,1200000,2025-11-15,
U0013,10046257,강릉 하쿠나마타타풀빌라,2,1500000,2025-05-30,
U0015,10040659,강릉 아카펠라 게스트하우스,3,300000,2025-01-08,20-40만원
U0016,10056273,강릉 머물구자펜션,2,400000,2025-10-21,20-40만원
U0017,10047440,강릉 경포대로하스오션뷰가족펜션,3,1400000,2025-02-19,
U0018,10060041,강릉 열시반펜션,2,300000,2025-07-17,20-40만원
U0019,10056273,강릉 머물구자펜션,2,700000,2025-07-26,60만원 이상
U0020,3017781,강릉 아스라,5,500000,2025-10-15,40-60만원
U0022,10044704,강릉 라온펜션,5,900000,2025-12-22,60만원 이상
U0024,10051273,강릉 넘버25 강릉역점,3,600000,2025-09-27,40-60만원
U0026,3008141,강릉관광호텔,2,500000,2025-11-08,40-60만원
U0027,10060041,강릉 열시반펜션,3,700000,2025-12-29,60만원 이상
U0028,10055367,강릉 꽃담은강문을담다,5,3200000,2025-01-19,
U0029,10048130,강릉 라임비치스파펜션,3,800000,2025-09-27,60만원 이상
U0030,10057625,강릉 스테이에덴,2,800000,2025-09-27,60만원 이상
U0031,10048130,강릉 라임비치스파펜션,5,600000,2025-10-09,40-60만원
U0032,10045242,강릉 더시월독채펜션,2,300000,2025-03-23,20-40만원
U0033,10058072,강릉 하이오션618호,2,300000,2025-11-15,20-40만원
U0034,1000068,강릉 경포대 빅토리아,3,400000,2025-04-11,20-40만원
U0035,10064591,강릉 블랑37독채풀빌라,2,1800000,2025-06-25,
U0036,10063700,신라모노그램 강릉 레지던스,2,1600000,2025-08-25,
U0037,10057270,강릉 강문소소담독채펜션,2,800000,2025-02-23,60만원 이상
U0038,10057607,강릉 나비잠,2,500000,2025-09-03,40-60만원
U0041,10058072,강릉 하이오션618호,3,300000,2025-05-26,20-40만원
U0042,27240,강릉 부띠크 루소호텔,5,1000000,2025-08-11,60만원 이상
U0043,3000446,강릉 라벨르호텔 프리미어 강릉역점,4,500000,2025-11-09,40-60만원
U0044,10044704,강릉 라온펜션,2,400000,2025-08-23,20-40만원
U0045,1000090928,강릉 경포솔향기펜션,3,700000,2025-01-31,60만원 이상
U0046,10040360,강릉 까사클라라펜션,3,1400000,2025-08-27,
U0047,10040006,강릉 학동 한옥스테이,4,3500000,2025-10-29,
U0048,3014625,강릉 아가바라 호텔,2,200000,2025-03-28,20만원 이하
U0049,10060041,강릉 열시반펜션,3,500000,2025-07-10,40-60만원
U0051,10062450,강릉 유림스테이,2,600000,2025-05-01,40-60만원
U0053,10042945,강릉 경포힐링하우스펜션,2,500000,2025-09-17,40-60만원
U0054,1000068,강릉 경포대 빅토리아,2,200000,2025-02-21,20만원 이하
U0055,10057607,강릉 나비잠,3,600000,2025-06-08,40-60만원
U0056,1000145,강릉 더뷰티호텔,3,600000,2025-04-18,40-60만원
U0057,27240,강릉 부띠크 루소호텔,3,500000,2025-12-05,40-60만원
U0058,10063700,신라모노그램 강릉 레지던스,2,1000000,2025-02-25,60만원 이상
U0059,10044704,강릉 라온펜션,2,200000,2025-08-06,20만원 이하
U0061,10061060,강릉 브릭포레스트,2,400000,2025-11-05,20-40만원
U0062,10047592,강릉 디니다스펜션,2,1600000,2025-02-21,
U0063,3001494,강릉 씨마크 호텔,2,1600000,2025-05-21,
U0064,3002827,강릉 황토와솔내음펜션,2,300000,2025-05-31,20-40만원
U0065,3017781,강릉 아스라,3,400000,2025-05-30,20-40만원
U0066,10040360,강릉 까사클라라펜션,2,800000,2025-05-24,60만원 이상
