accommodation_id,accommodation_name,count,duration_days,budget
1000108328,강릉 게스트하우스 중앙점,178,3.033707865168539,678089.8876404495
10060041,강릉 열시반펜션,126,2.7936507936507935,967460.3174603175
10058072,강릉 하이오션618호,73,2.958904109589041,913698.6301369863
10057607,강릉 나비잠,26,2.923076923076923,1388461.5384615385
10040659,강릉 아카펠라 게스트하우스,25,3.56,808000.0
10044704,강릉 라온펜션,22,2.727272727272727,800000.0
10058151,강릉 미라벨펜션,20,2.45,955000.0
1000109710,강릉 라라,20,2.95,675000.0
10048130,강릉 라임비치스파펜션,17,3.411764705882353,1252941.1764705882
3017781,강릉 아스라,15,3.466666666666667,680000.0
10046257,강릉 하쿠나마타타풀빌라,15,2.6666666666666665,2106666.6666666665
3000446,강릉 라벨르호텔 프리미어 강릉역점,14,2.357142857142857,592857.1428571428
10056273,강릉 머물구자펜션,14,2.5,1257142.857142857
10065274,강릉 호텔 감재,13,2.6923076923076925,792307.6923076923
10046137,강릉(정동진) 해맞이,11,2.090909090909091,527272.7272727273
1000236,강릉 경포대 스완,10,2.8,1150000.0
1000145,강릉 더뷰티호텔,9,3.111111111111111,822222.2222222222
10047953,강릉 1012독채펜션,9,2.3333333333333335,688888.8888888889
10062450,강릉 유림스테이,9,2.4444444444444446,1055555.5555555555
10064423,강릉 진스테이,9,2.6666666666666665,944444.4444444445
10061418,강릉 강문스테이,8,2.75,437500.0
1000090928,강릉 경포솔향기펜션,7,3.142857142857143,1785714.2857142857
3008141,강릉관광호텔,7,2.0,600000.0
3003230,강릉 S202 스파펜션,7,2.0,542857.1428571428
10064533,강릉 경포블루비치펜션,6,3.0,966666.6666666666
10064399,강릉 더이스트펜션,6,3.0,816666.6666666666
10057347,강릉 해중공원펜션,5,2.4,700000.0
10062547,강릉 강문스토리,5,3.2,440000.0
10048410,강릉 지지(GG)펜션,5,2.0,660000.0
1000100529,경포 비스타호텔,5,2.6,500000.0
10062414,강릉 스테이인터뷰,5,2.0,580000.0
10065181,강릉 호텔 인,5,2.8,1100000.0
10062294,강릉 노빌레펜션,4,2.25,775000.0
3012679,강릉 경포대 산토리니,4,4.25,725000.0
3016454,호텔하운드 강릉경포,4,2.5,1400000.0
1000114471,강릉 마운틴,3,3.0,400000.0
10060848,강릉 나이아드펜션,3,4.0,466666.6666666667
1000108374,강릉 세인트린느 카라반 게스트하우스,3,3.0,333333.3333333333
10064446,강릉 경포 블루비치펜션,3,4.333333333333333,533333.3333333334
3004405,강릉 휴가펜션,3,3.0,1500000.0
3004935,강릉 옥상달빛펜션,3,3.6666666666666665,933333.3333333334
3013306,강릉 더샾호텔,3,3.0,866666.6666666666
27240,강릉 부띠크 루소호텔,3,4.0,866666.6666666666
10062031,강릉 스테이경포55,3,2.3333333333333335,533333.3333333334
10045118,강릉 글래드펜션,2,2.0,250000.0
10052744,강릉 리멤버독채펜션,2,2.0,950000.0
3002920,강릉 산바다펜션,2,2.0,650000.0
10045242,강릉 더시월독채펜션,2,2.0,400000.0
10044900,강릉 산호펜션,2,4.0,900000.0
10040006,강릉 학동 한옥스테이,2,2.5,1950000.0
10040005,강릉 이팝게스트하우스,2,2.0,300000.0
3002569,강릉 한들펜션,2,2.0,600000.0
1000110878,강릉 진하우스펜션,2,2.0,900000.0
1000102592,강릉 경포대 인터파크,2,4.0,1350000.0
1000108403,강릉 경포대 료칸스테이,2,2.0,450000.0
10063337,강릉 스테이안다미로독채스파펜션,2,3.5,1350000.0
1000109262,강릉 숨어있는집펜션,2,3.0,500000.0
10064392,강릉 파라다이스펜션,2,3.0,650000.0
27857,강릉 미성장모텔,2,3.5,350000.0
3002827,강릉 황토와솔내음펜션,2,3.5,2300000.0
10040360,강릉 까사클라라펜션,2,2.0,1000000.0
10062828,강릉 소나무숲펜션,2,2.0,1500000.0
10061268,강릉 더브리앙뜨펜션,2,2.0,1100000.0
10063700,신라모노그램 강릉 레지던스,2,2.5,2000000.0
10063103,강릉 사천의밤,2,2.0,200000.0
10060197,강릉 모래하늘펜션,2,2.0,850000.0
10057249,강릉 연곡펜션,2,2.5,300000.0
10057625,강릉 스테이에덴,2,2.0,1150000.0
1000059,강릉 경포대 코모도,1,3.0,400000.0
100102,강릉 경포대 파라다이스,1,4.0,400000.0
1019925,강릉 HOTEL Vv,1,2.0,900000.0
3005630,강릉 티케하우스펜션,1,2.0,700000.0
3007202,강릉 메어블릭스파펜션,1,2.0,900000.0
3008632,강릉 루소호텔,1,5.0,3300000.0
10042157,강릉 베이스캠프카라반,1,4.0,1500000.0
10043398,강릉 페리아902키즈가족스파펜션,1,2.0,900000.0
3014625,강릉 아가바라 호텔,1,2.0,200000.0
3014465,강릉 타워모텔,1,2.0,200000.0
3014292,강릉 휠,1,2.0,200000.0
3012759,강릉 다비앙스파펜션,1,3.0,2400000.0
3010970,강릉 어뮤즈스파펜션,1,3.0,600000.0
10039924,강릉 위펜션(안목 커피거리),1,3.0,600000.0
3009363,강릉 루이스호텔,1,2.0,700000.0
