업소명,업종,업태,도로명주소
옛날삼교리막국수,일반음식점,분식,강원특별자치도 강릉시 주문진읍 신리천로 348-3
함지박,일반음식점,한식,강원특별자치도 강릉시 관대길 66-1(내곡동)
예스영푸드 강릉지점,일반음식점,한식,강원특별자치도 강릉시 강동면 원장봉길 70-9(1층)
강산푸드정가미,일반음식점,한식,강원특별자치도 강릉시 강동면 정동역길 24(1~2층)
서원구정휴게소,일반음식점,한식,강원특별자치도 강릉시 구정면 동해고속도로 346
예스영푸드 강릉지사,일반음식점,한식,강원특별자치도 강릉시 강동면 시동서당길 120(1층)
적광개발강릉송정가든,일반음식점,한식,강원특별자치도 강릉시 해안로 159(1층 송정동)
화이트캐슬,일반음식점,한식,강원특별자치도 강릉시 강동면 산두양지길 7-16
100년소머리곰탕,일반음식점,한식,강원특별자치도 강릉시 옥계면 동해대로 449-19
1300도씨짬뽕&떡볶이,일반음식점,분식,강원특별자치도 강릉시 중앙시장2길 43(1층 성남동)
13월의강릉,일반음식점,한식,강원특별자치도 강릉시 해안로 292(1호 강문동)
1974 비래옥 강릉점,일반음식점,한식,강원특별자치도 강릉시 경강로2267번길 20(1층 포남동)
1박2일,일반음식점,한식,강원특별자치도 강릉시 솔올로 62(1층 교동)
2024월화거리야시장),일반음식점,한식,강원특별자치도 강릉시 금학동 9-9 2024월화거리야시장
2024월화거리야시장,일반음식점,한식,강원특별자치도 강릉시 금학동 9-9 2024월화거리야시장
2024월화거리야시장,일반음식점,한식,강원특별자치도 강릉시 금학동 9-9 2024월화거리야시장
24시 기가막힌 감자탕,일반음식점,한식,강원특별자치도 강릉시 성덕포남로 40(입암동)
24시옥계장터국밥,일반음식점,분식,강원특별자치도 강릉시 옥계면 현내시장길 70-1
24시전주명가콩나물국밥강릉점,일반음식점,한식,강원특별자치도 강릉시 교동광장로 107(교동)
24시전주콩향기콩나물국밥,일반음식점,한식,강원특별자치도 강릉시 강릉대로 436(1층 포남동)
24시정동진회식당,일반음식점,한식,강원특별자치도 강릉시 강동면 정동역길 8
24시초당순두부,일반음식점,한식,강원특별자치도 강릉시 강동면 정동역길 8
33떡볶이,일반음식점,분식,"강원특별자치도 강릉시 경강로 2498(1층 106호 송정동, 강릉 송정 신원아침도시)"
400년집초당순두부,일반음식점,한식,강원특별자치도 강릉시 운정길 121(운정동)
59쌀피자주문진점,일반음식점,한식,강원특별자치도 강릉시 주문진읍 학교길 11-1(1층)
87닭강정 주문진점,일반음식점,분식,강원특별자치도 강릉시 주문진읍 신리길 2(1층)
9남매집,일반음식점,한식,강원특별자치도 강릉시 초당원길 63-2(초당동)
"D,dell",일반음식점,한식,강원특별자치도 강릉시 임영로116번안길 11(금학동)
IH푸드,일반음식점,한식,강원특별자치도 강릉시 연화봉길 26(지하동 노암동)
KBS강릉방송국구내식당,일반음식점,한식,강원특별자치도 강릉시 임영로131번길 13(용강동)
KIS정보통신강릉휴게소놀부부대찌개,일반음식점,한식,강원특별자치도 강릉시 성산면 영동고속도로 232
"KIS정보통신강릉휴게소 제순식당,인생설렁탕",일반음식점,한식,강원특별자치도 강릉시 성산면 영동고속도로 231
가곡막국수,일반음식점,분식,강원특별자치도 강릉시 구정면 남밭길 6
가누,일반음식점,한식,강원특별자치도 강릉시 토성로 84-3(홍제동)
가람이 닭발,일반음식점,한식,강원특별자치도 강릉시 성덕포남로 64(103호 입암동)
가람집옹심이,일반음식점,한식,강원특별자치도 강릉시 공항길30번길 16(1층 병산동)
가래울해장국,일반음식점,한식,강원특별자치도 강릉시 초당순두부길 46(1층 초당동)
가마솥강릉설렁탕,일반음식점,한식,강원특별자치도 강릉시 강동면 헌화로 651-4
가마솥묵은지생삼겹,일반음식점,한식,강원특별자치도 강릉시 남산초교길 22(내곡동)
가마솥순대국밥,일반음식점,한식,강원특별자치도 강릉시 하평1길 20(1층 포남동)
가마솥쌈밥,일반음식점,한식,강원특별자치도 강릉시 경강로2343번길 10(포남동)
가마솥인삼진국곰탕집,일반음식점,한식,강원특별자치도 강릉시 명륜로121번길 13(포남동)
가마솥흑염소,일반음식점,한식,강원특별자치도 강릉시 범일로 510(내곡동)
가마치치킨,일반음식점,한식,강원특별자치도 강릉시 주문진읍 항구로 40(지하1층 B106호 강릉주문진 풍림 아이원 하버뷰)
가보래,일반음식점,한식,강원특별자치도 강릉시 남산초교길5번길 1(내곡동)
